院系名称,全校毕业生_毕业人数,全校毕业生_就业数,全校毕业生_毕业去向落实率,本科生毕业_毕业人数,本科生毕业_就业数,本科生毕业_毕业去向落实率,毕业研究生_毕业人数,毕业研究生_就业数,毕业研究生_毕业去向落实率,博士生毕业_毕业人数,博士生毕业_就业数,博士生毕业_毕业去向落实率,硕士生毕业_毕业人数,硕士生毕业_就业数,硕士生毕业_毕业去向落实率,年份
物理学院,236,114,0.4831,158,76,0.481,78,38,0.4872,1,1,1,77,37,0.4805,2026
药学院,142,60,0.4225,53,20,0.3774,89,40,0.4494,1,-,0,88,40,0.4545,2026
重庆大学-辛辛那提大学联合学院,95,50,0.5263,95,50,0.5263,-,-,-,-,-,-,-,-,-,2026
能源与动力工程学院,438,290,0.6621,251,130,0.5179,187,160,0.8556,6,5,0.8333,181,155,0.8564,2026
电气工程学院,660,525,0.7955,309,189,0.6117,351,336,0.9573,32,26,0.8125,319,310,0.9718,2026
体育学院,41,10,0.2439,29,9,0.3103,12,1,0.0833,-,-,-,12,1,0.0833,2026
美视电影学院,283,101,0.3569,235,89,0.3787,48,12,0.25,-,-,-,48,12,0.25,2026
外国语学院,212,88,0.4151,117,50,0.4274,95,38,0.4,8,-,0,87,38,0.4368,2026
博雅学院&人文社会科学高等研究院,102,41,0.402,64,29,0.4531,38,12,0.3158,-,-,-,38,12,0.3158,2026
弘深学院,83,57,0.6867,83,57,0.6867,-,-,-,-,-,-,-,-,-,2026
医学院,97,10,0.1031,-,-,-,97,10,0.1031,4,-,0,93,10,0.1075,2026
国家卓越工程师学院,139,103,0.741,59,40,0.678,80,63,0.7875,-,-,-,80,63,0.7875,2026
法学院,343,300,0.8746,138,113,0.8188,205,187,0.9122,21,18,0.8571,184,169,0.9185,2025
马克思主义学院,46,42,0.913,-,-,-,46,42,0.913,5,5,1,41,37,0.9024,2025
建筑城规学院,442,361,0.8167,216,167,0.7731,226,194,0.8584,10,6,0.6,216,188,0.8704,2025
环境与生态学院,460,450,0.9783,212,207,0.9764,248,243,0.9798,25,23,0.92,223,220,0.9865,2025
化学化工学院,356,324,0.9101,140,115,0.8214,216,209,0.9676,43,38,0.8837,173,171,0.9884,2025
艺术学院,325,280,0.8615,245,209,0.8531,80,71,0.8875,-,-,-,80,71,0.8875,2025
管理科学与房地产学院,619,598,0.9661,237,224,0.9451,382,374,0.9791,15,11,0.7333,367,363,0.9891,2025
航空航天学院,205,182,0.8878,120,100,0.8333,85,82,0.9647,15,14,0.9333,70,68,0.9714,2025
材料科学与工程学院,626,544,0.869,281,221,0.7865,345,323,0.9362,68,57,0.8382,277,266,0.9603,2025
经济与工商管理学院,1045,1014,0.9703,276,260,0.942,769,754,0.9805,33,28,0.8485,736,726,0.9864,2025
公共管理学院,561,515,0.918,161,142,0.882,400,373,0.9325,22,15,0.6818,378,358,0.9471,2025
微电子与通信工程学院,455,433,0.9516,282,261,0.9255,173,172,0.9942,10,10,1,163,162,0.9939,2025
计算机学院,497,455,0.9155,315,277,0.8794,182,178,0.978,15,13,0.8667,167,165,0.988,2025
土木工程学院,1049,924,0.8808,526,437,0.8308,523,487,0.9312,77,70,0.9091,446,417,0.935,2025
大数据与软件学院,359,335,0.9331,250,228,0.912,109,107,0.9817,7,6,0.8571,102,101,0.9902,2025
生命科学学院,105,86,0.819,40,35,0.875,65,51,0.7846,11,6,0.5455,54,45,0.8333,2025
机械与运载工程学院,1101,1030,0.9355,549,486,0.8852,552,544,0.9855,64,58,0.9063,488,486,0.9959,2025
